filename;date;x;set;cl;pver;product;description
/x64/avx/cygconfig-11.dll;17/03/2026 09:07;64;avx (239);2.46;1.8.2;cygconfig-11;arch:x64-avx gcc:16.0.1 tag:1.8.2 date:2025-12-14
/x64/avx/echosrv.exe;17/03/2026 09:08;64;avx (1117);2.46;2.3.1.1;echosrv;arch:x64-avx gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/avx/sslh-ev.exe;17/03/2026 09:08;64;avx (1537);2.46;2.3.1.1;sslh-ev;arch:x64-avx gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/avx/sslh-fork.exe;17/03/2026 09:08;64;avx (1441);2.46;2.3.1.1;sslh-fork;arch:x64-avx gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/avx/sslh-select.exe;17/03/2026 09:08;64;avx (1613);2.46;2.3.1.1;sslh-select;arch:x64-avx gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/avx2/cygconfig-11.dll;17/03/2026 09:09;64;avx (227);2.46;1.8.2;cygconfig-11;arch:x64-avx2 gcc:16.0.1 tag:1.8.2 date:2025-12-14
/x64/avx2/echosrv.exe;17/03/2026 09:10;64;avx (909);2.46;2.3.1.1;echosrv;arch:x64-avx2 gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/avx2/sslh-ev.exe;17/03/2026 09:10;64;avx (1383);2.46;2.3.1.1;sslh-ev;arch:x64-avx2 gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/avx2/sslh-fork.exe;17/03/2026 09:10;64;avx (1295);2.46;2.3.1.1;sslh-fork;arch:x64-avx2 gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/avx2/sslh-select.exe;17/03/2026 09:10;64;avx (1494);2.46;2.3.1.1;sslh-select;arch:x64-avx2 gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/cygev-4.dll;01/01/1970 01:00;64;;2.36;n/a;n/a;n/a
/x64/cygpcre2-8-0.dll;09/11/2025 10:49;64;;2.45;n/a;n/a;n/a
/x64/cygwin1.dll;11/03/2026 16:38;64;;2.46;3.7.0;Cygwin;Cygwin POSIX Emulation DLL
/x64/cygwrap-0.dll;01/01/1970 01:00;64;;2.29;n/a;n/a;n/a
/x64/nssm-2.25.0.exe;12/11/2024 09:32;64;avx (183);14.40;2.2.25.0;nssm:nssm-2.25.0;arch:x64 vcver:14.40[vs17] commit:a1c3260 branch:master date:2021-12-16
/x64/sse2/cygconfig-11.dll;17/03/2026 08:52;64;;2.46;1.8.2;cygconfig-11;arch:x64 gcc:16.0.1 tag:1.8.2 date:2025-12-14
/x64/sse2/echosrv.exe;17/03/2026 08:53;64;;2.46;2.3.1.1;echosrv;arch:x64 gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/sse2/sslh-ev.exe;17/03/2026 08:53;64;;2.46;2.3.1.1;sslh-ev;arch:x64 gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/sse2/sslh-fork.exe;17/03/2026 08:53;64;;2.46;2.3.1.1;sslh-fork;arch:x64 gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
/x64/sse2/sslh-select.exe;17/03/2026 08:53;64;;2.46;2.3.1.1;sslh-select;arch:x64 gcc:16.0.1 branch:master commit:dc70cc0 date:2026-03-15 (libconfig:1.8.2)
